"Timestamp","1. What field are you in?","2. Which sector are you working in","3. What is Your Sex ","4.    What is your level of experience?","5. Are you a Paid Up Member of The Economics Association of Zambia (EAZ)?","6. Have you applied for EAZ membership?","7. You have registered as a user on the EAZ website, what was the reason for your registration?","8. Are you willing to apply and pay for membership?","9. If you answered “No” to the question above, explain the reason why","10. What assistance would you require to complete the registration process.","11. What has prevented you from applying for EAZ membership?","12. Are you aware of the benefits and opportunities that EAZ membership offers? ","13. What is your interest on the website?","14. On a scale of 1 to 5, how would you rate your willingness to pay for EAZ membership, with 1 being ""Not willing at All"" and 5 being ""Very Willing""? (1-5)","15. What factors have prevented you from activating your EAZ membership?","16. What specific incentives or changes could encourage you to activate your membership?","17. Please select your membership category from the following options","18. Which of these methods of sponsorship apply to you","19. On a Scale of 1 to 5  with 1 being not willing at all and 5 very willing, Are you willing to continue paying for the membership fees required for your specific EAZ category?  ","20. Based on your Answer to Question 19 above, give a reason for your answer.","21. On a Scale of 1 to 5 with 1 being not willing at all and 5 very willing, Are you willing to pay the membership fees for yourself? ","22. Based on your Answer to the Question above, Give a reason for your answer","23. On a scale of 1 to 5, with 1 being ""Not involved at All"" and 5 being ""Highly Involved,"" how involved are you in EAZ activities within your category?","24. What benefits would you like to receive from EAZ that you are not getting?","25. How can EAZ improve communication and engagement with members in your specific category? ","26. What recommendations would you make regarding the improvement of EAZ’s membership structure and activities within the category? "
"2023/12/23 6:05:59 pm EET","Engineering","","Male","0-4 Years","Yes","","","","","","","","","","","","Student","Self- sponsored (Proceed to Q19)","4","I find it very engaging, and I feel EAZ can be a great networking platform for business purposes","","","4","Economy research seminars and consultancies;Mentorship programs;Conferences and workshops;Collaborative research projects;Skills training and graduate trainee programs;Industrial tours;Fund raising events and sponsorships;Strategic partners with multinational institutions e.g. World Bank Group (WBG), IMF, EU, AU, BRICS, COMESA, and SADC with the aim of creating capacity for EAZ members across the board.;Employment opportunities","Regular newsletters with updates","More linkage between experienced, mentors, businesses and employers with young less experienced youths "
"2023/12/23 6:33:18 pm EET","Economics","Private Sector","Male","Above 10 Years","No","No","I want to become a member","No","I do not see the benefits","Information regarding membership fees and benefits","The association was politicized hence not renewing my membership ","No","Information on economic trends","","","","","","","","","","","","",""
"2023/12/23 7:08:14 pm EET","Economics","Private Sector","Female","0-4 Years","No","Yes (Proceed to Q14)","","","","","","","","5","Technical issues or difficulties during the registration process.","Well spelt benefits on membership","","","","","","","","","",""
"2023/12/23 9:54:01 pm EET","Accounting and finance ","Student ","Male","0-4 Years","Yes","","","","","","","","","","","","Student","Self- sponsored (Proceed to Q19)","5","Because I benefit a lot from the conference that the association organize which includes gaining knowledge,networking,exposure etc . It’s for this reason I will keep on paying membership fee so that I can also contribute to the development of the Economic Association of Zambia.","5","Because I benefit a lot from the conference that the association organize which includes gaining knowledge,networking,exposure etc . It’s for this reason I will keep on paying membership fee so that I can also contribute to the development of the Economic Association of Zambia.","5","Mentorship programs;Skills training and graduate trainee programs;Industrial tours;Strategic partners with multinational institutions e.g. World Bank Group (WBG), IMF, EU, AU, BRICS, COMESA, and SADC with the aim of creating capacity for EAZ members across the board.;Employment opportunities","Personalized communication based on member interests",""
"2023/12/24 5:18:38 am EET","Economics","Private Sector","Male","0-4 Years","Yes","","","","","","","","","","","","Junior","Paid for (Proceed to Q21)","","","5","Because it will motivate me contribute positively to the association ","4","Economy research seminars and consultancies;Conferences and workshops;Collaborative research projects;Skills training and graduate trainee programs;Industrial tours;Strategic partners with multinational institutions e.g. World Bank Group (WBG), IMF, EU, AU, BRICS, COMESA, and SADC with the aim of creating capacity for EAZ members across the board.;Employment opportunities","Personalized communication based on member interests",""
"2023/12/24 8:30:27 am EET","Economics","","Male","0-4 Years","No","Yes (Proceed to Q14)","","","","","","","","5","Financial constraints","Well spelt benefits on membership","","","","","","","","","",""
"2023/12/24 8:51:10 am EET","Economics","Private Sector","Male","Above 10 Years","Yes","","","","","","","","","","","","Economist","Self- sponsored (Proceed to Q19)","3","There has to be a convincing value of belonging to the association unlike the forgoing. Let us learn from other professional bodies. Surely, we need to do better. The face of our office speaks volume. It's even a turn off and you wonder if there is relevance of sacrificing the little we earn in this difficult time to pay for membership. Truth be told, something somewhere is not adding.","3","Off course I am willing but value to money is key. What exactly should prompt me to always remain a paid up member? This is the big question to be answered. The day we are all going to face it and answer the question asked, that will be the turn around of members coming in big numbers to always remain paid up","1","Board placements for senior membership;Economy research seminars and consultancies;Mentorship programs;Conferences and workshops;Collaborative research projects;Skills training and graduate trainee programs;Industrial tours;Fund raising events and sponsorships;Strategic partners with multinational institutions e.g. World Bank Group (WBG), IMF, EU, AU, BRICS, COMESA, and SADC with the aim of creating capacity for EAZ members across the board.;Employment opportunities","Personalized communication based on member interests","Re inventing the will is not a way to go. Let's basically learn from other professional bodies and do better. There is no headache of debating issues of structures but learn from. our friends and move. Once we have where to start from then it becomes easier to look at doing it better. But for now, office for the secretariat is an issue, staff much to be desired, face of the secretariat in terms of publicity Is something else, furniture etc all these are big issues. No pride of us paid up members walking to visit our professional body unfortunately. Sad. "
"2023/12/24 9:20:00 am EET","Economics","N/A","Female","0-4 Years","Yes","","","","","","","","","","","","Student","Self- sponsored (Proceed to Q19)","5","I’m a new member and since I’m yet to experience the benefits of being a paid up member I’m willing to continue paying for membership for now ","","","","","Regular newsletters with updates",""
"2023/12/24 10:15:23 am EET","Economics","Currently unemployed ","Female","Above 10 Years","No","No","I want to become a member","Yes","","Finances","Finances. Can’t afford at the moment ","Yes","Information on training and employment","","","","","","","","","","","","",""
"2023/12/24 2:49:30 pm EET","Economics","Private Sector","Male","0-4 Years","No","No","I want to become a member","Yes","","Information regarding membership fees and benefits","I haven’t had the opportunity to explore the benefits and advantages of EAZ membership","No","Information on workshops, conferences and public discussions conducted by EAZ","","","","","","","","","","","","",""
"2023/12/24 5:21:15 pm EET","Economics","Public Sector","Male","0-4 Years","No","No","I want to become a member","Yes","","Information regarding membership fees and benefits","I haven’t had the opportunity to explore the benefits and advantages of EAZ membership","No","Information related to papers and research work by EAZ","","","","","","","","","","","","",""
"2023/12/24 5:23:11 pm EET","Economics","Private Sector","Male","5-10 Years","No","Yes (Proceed to Q14)","","","","","","","","3","Fees are too high for the perceived benefits;Financial constraints","Create a flexible payment plan","","","","","","","","","",""
"2023/12/24 6:05:17 pm EET","Economics","Still in school ","Male","0-4 Years","No","Yes (Proceed to Q14)","","","","","","","","4","Financial constraints","Create a flexible payment plan","","","","","","","","","",""
"2023/12/24 7:48:22 pm EET","Census and Statistics","Public Sector","Male","Above 10 Years","Yes","","","","","","","","","","","","Senior","Self- sponsored (Proceed to Q19)","2","The subscription fees are a bit high for us who are self sponsord.","2","Willing if the fees are reduced ","2","Economy research seminars and consultancies;Mentorship programs;Conferences and workshops;Collaborative research projects;Skills training and graduate trainee programs;Strategic partners with multinational institutions e.g. World Bank Group (WBG), IMF, EU, AU, BRICS, COMESA, and SADC with the aim of creating capacity for EAZ members across the board.;Employment opportunities","Improved website and member portal","Increased communication with members and members should be involved in a number of projects."
"2023/12/24 8:36:42 pm EET","Economics","Public Sector","Male","5-10 Years","No","Yes (Proceed to Q14)","","","","","","","","5","Technical issues or difficulties during the registration process.;Membership officer not helpful ","Staff in the membership unit that understand their job. I asked for assistance, and it never come despite contacting the membership office.","","","","","","","","","",""
"2023/12/24 9:09:50 pm EET","Economics","","Male","0-4 Years","No","Yes (Proceed to Q14)","","","","","","","","5","Fees are too high for the perceived benefits","Create a flexible payment plan","","","","","","","","","",""
"2023/12/25 8:31:29 am EET","Economics","Public Sector","Male","0-4 Years","Yes","","","","","","","","","","","","Economist","Paid for (Proceed to Q21)","","","4","I am interested in some of the programmes the association undertakes as they are quite educative and informative","3","Economy research seminars and consultancies;Conferences and workshops;Collaborative research projects;Industrial tours","Personalized communication based on member interests","nil"
"2023/12/25 10:51:33 am EET","Economics","Public Sector","Male","5-10 Years","Yes","","","","","","","","","","","","Student","Self- sponsored (Proceed to Q19)","5","I am very much willing to continue paying for subscription provided the association helps provide internship,careers networking with industry leaders, involve members in various economic related research activities, student placement or internship with both public and private organizations and/or institutions,provide career guidance at post graduation and ultimately provide association student exchange with other country's associates.","5","Because I would directly benefit from the association activities and help actualize the association values and goals","3","Board placements for senior membership;Economy research seminars and consultancies;Mentorship programs;Conferences and workshops;Collaborative research projects;Skills training and graduate trainee programs;Industrial tours;Fund raising events and sponsorships;Strategic partners with multinational institutions e.g. World Bank Group (WBG), IMF, EU, AU, BRICS, COMESA, and SADC with the aim of creating capacity for EAZ members across the board.;Employment opportunities","Personalized communication based on member interests","Robustness in its approach to issues affecting all members"
"2023/12/25 3:52:10 pm EET","Education","Public Sector","Male","Above 10 Years","No","No","I want to become a member","Yes","","","Cost of membership","No","Information on workshops, conferences and public discussions conducted by EAZ","","","","","","","","","","","","",""
"2023/12/26 8:22:26 am EET","Economics","Public Sector","Female","5-10 Years","Yes","","","","","","","","","","","","Economist","Paid for (Proceed to Q21)","","","4","Being part of the EAZ is essential for my career development and opens up a wide range of opportunities for me, from academic opportunities to professional opportunities.","2","Mentorship programs;Conferences and workshops;Skills training and graduate trainee programs;Fund raising events and sponsorships;Strategic partners with multinational institutions e.g. World Bank Group (WBG), IMF, EU, AU, BRICS, COMESA, and SADC with the aim of creating capacity for EAZ members across the board.;Employment opportunities","Improved website and member portal","1. For Members to be highly involved in the EAZ activities, it would be nice for EAZ to formally request all organizations that have paid EAZ members to formally release them for such activities. At times, if the organization does not formally release employees for EAZ activities, it becomes difficult to get permission from immediate supervisors to attend such activities.
2. Consider adjusting the time of EAZ activities to working hours.
3. Consider having zoom links for those who are unable to attend physically meetings of an important nature."
"2023/12/26 9:48:01 am EET","Economics related field","Private Sector","Male","Above 10 Years","Yes","","","","","","","","","","","","Associate","Self- sponsored (Proceed to Q19)","4","I get great  benefits from been associated with the association, nevertheless I would like to make an enerst appeal to the leadership to make the association more relevant by giving guidance and pieces of advice on economic public  policy on a regular basis.","4","In my current job, am not into mainstream economics, therefore, my institution only has the obligation to pay for the field am currently in.","3","Board placements for senior membership;Economy research seminars and consultancies;Conferences and workshops;Collaborative research projects;Industrial tours;Fund raising events and sponsorships;Strategic partners with multinational institutions e.g. World Bank Group (WBG), IMF, EU, AU, BRICS, COMESA, and SADC with the aim of creating capacity for EAZ members across the board.;Employment opportunities","Regular newsletters with updates","Ideally the association needs to consider lobbying for board memberships in key and strategic intuitions for its members."
"2023/12/26 1:42:14 pm EET","Banking","Private Sector","Male","5-10 Years","No","Yes (Proceed to Q14)","","","","","","","","5","Fees are too high for the perceived benefits;Financial constraints","Create a flexible payment plan","","","","","","","","","",""
"2023/12/26 5:53:25 pm EET","Law","Student ","Male","0-4 Years","No","No","I want to become a member","Yes","","Forms to fill in","I haven’t had the opportunity to explore the benefits and advantages of EAZ membership","No","Information on workshops, conferences and public discussions conducted by EAZ","","","","","","","","","","","","",""
"2023/12/26 9:30:14 pm EET","Accounting and Finance","Student ","Male","0-4 Years","No","Yes (Proceed to Q14)","","","","","","","","5","Financial constraints","Create a flexible payment plan","","","","","","","","","",""
"2023/12/26 10:21:03 pm EET","Economics","Public Sector","Male","0-4 Years","No","Yes (Proceed to Q14)","","","","","","","","4","Fees are too high for the perceived benefits","Create a flexible payment plan","","","","","","","","","",""
"2023/12/27 8:42:00 am EET","Economics","Public Sector","Male","0-4 Years","No","Yes (Proceed to Q14)","","","","","","","","5","Fees are too high for the perceived benefits","Create a flexible payment plan","","","","","","","","","",""
"2023/12/27 8:56:23 am EET","Economics","","Male","0-4 Years","Yes","","","","","","","","","","","","Student","Self- sponsored (Proceed to Q19)","5","Being part of this association provides me with a valuable space to learn more about the world of economics and offers significant networking opportunities. I believe in the benefits it brings to my academic and professional growth.","4","Because Being part of the Economics Association of Zambia is essential for my academic and professional development. The association provides a valuable platform for learning, networking, and staying updated on economic trends, which aligns with my goals and aspirations in the field of economics.""","4","Economy research seminars and consultancies;Mentorship programs;Collaborative research projects;Skills training and graduate trainee programs;Industrial tours","Personalized communication based on member interests","Consider introducing mentorship programs within the student category to facilitate knowledge exchange and career guidance. Additionally, diversify activities by incorporating workshops, guest lectures, or industry visits to provide practical insights. Encourage active participation through online forums or discussion platforms to foster networking and idea-sharing among members. Regularly assess members' needs and preferences to adapt and enhance the membership structure accordingly."
"2023/12/27 10:29:08 am EET","Economics","Private Sector","Male","0-4 Years","No","Yes (Proceed to Q14)","","","","","","","","2","Fees are too high for the perceived benefits;Financial constraints","Well spelt benefits on membership","","","","","","","","","",""
"2023/12/27 10:58:17 am EET","Economics","NGO","Male","Above 10 Years","No","No","I want to become a member","Yes","","Forms to fill in and Information regarding membership fees & benefits","I haven’t had the opportunity to explore the benefits and advantages of EAZ membership","No","Information on workshops, conferences and public discussions conducted by EAZ","","","","","","","","","","","","",""
"2023/12/27 5:45:24 pm EET","Business Administration and Finance","Public Sector","Male","Above 10 Years","No","Yes (Proceed to Q14)","","","","","","","","5","Financial constraints","Create a flexible payment plan","","","","","","","","","",""
"2023/12/28 7:38:27 am EET","Economics","Public Sector","Male","Above 10 Years","Yes","","","","","","","","","","","","Student","Self- sponsored (Proceed to Q19)","5","The association is the powerhouse of knowledge for Economic issues surrounding our globe","5","I wish to keep abreast with knowledge of my field in Economics","2","Board placements for senior membership;Economy research seminars and consultancies;Mentorship programs;Conferences and workshops;Collaborative research projects;Skills training and graduate trainee programs;Industrial tours;Fund raising events and sponsorships;Strategic partners with multinational institutions e.g. World Bank Group (WBG), IMF, EU, AU, BRICS, COMESA, and SADC with the aim of creating capacity for EAZ members across the board.;Employment opportunities","Improved website and member portal","I wish to recommend you for your good and timely updates to the general membership,but there is also need to improve on employment on both formal and entrepreneurship"
"2023/12/28 10:53:07 am EET","Economics related field","Public Sector","Female","5-10 Years","Yes","","","","","","","","","","","","Economist","Paid for (Proceed to Q21)","","","2","The fees are not quite affordable ","4","Economy research seminars and consultancies;Mentorship programs;Skills training and graduate trainee programs;Employment opportunities","Regular newsletters with updates","communicate more even using visuals such as videos done on different topics etc"
"2023/12/28 4:34:00 pm EET","Economics related field","N/A","Female","0-4 Years","Yes","","","","","","","","","","","","Student","Self- sponsored (Proceed to Q19)","5","I am very willing to continue paying for the 
membership fees required for my specific EAZ category because, I believe and trust that being a member provides a forum for people to talk and think like economists, converse about current issues, economic theories and research ideas.","","","3","Employment opportunities","Personalized communication based on member interests","Should provide skills training to students or graduates and personalized communication based on member interests."
"2023/12/28 6:14:45 pm EET","Economics related field","","Male","0-4 Years","No","Yes (Proceed to Q14)","","","","","","","","5","Financial constraints","Well spelt benefits on membership","","","","","","","","","",""
"2023/12/28 7:31:45 pm EET","Accounting","SOE","Female","5-10 Years","No","Yes (Proceed to Q14)","","","","","","","","5","Lack of clear instructions on the activation process.","Well spelt benefits on membership","","","","","","","","","",""
"2023/12/28 11:35:06 pm EET","Economics","Student ","Male","0-4 Years","Yes","","","","","","","","","","","","Student","Self- sponsored (Proceed to Q19)","2","I don't receive and enjoy the benefits of the association.

The association should enforce a holiday recruit training for us student economists ","2","The benefits of the membership are not seen or enjoyed.

The association should come up with a training or educative program for student members so as to expose them to the outside world ","5","Economy research seminars and consultancies;Mentorship programs;Conferences and workshops;Collaborative research projects;Skills training and graduate trainee programs;Industrial tours;Fund raising events and sponsorships;Strategic partners with multinational institutions e.g. World Bank Group (WBG), IMF, EU, AU, BRICS, COMESA, and SADC with the aim of creating capacity for EAZ members across the board.;Employment opportunities","Improved website and member portal","Should listen to it's members cries and should put field tours as a priority "
"2023/12/29 12:21:33 pm EET","Economics related field","Private Sector","Female","Above 10 Years","Yes","","","","","","","","","","","","Economist","Self- sponsored (Proceed to Q19)","3","I have not had many value additional benefits from the time i subscribed as a member.","4","I am self sponsored want to contribute to the economic development of our country.","2","Board placements for senior membership;Economy research seminars and consultancies;Collaborative research projects;Skills training and graduate trainee programs;Industrial tours;Strategic partners with multinational institutions e.g. World Bank Group (WBG), IMF, EU, AU, BRICS, COMESA, and SADC with the aim of creating capacity for EAZ members across the board.;Employment opportunities","Regular newsletters with updates","Annual General Meeting should be emphasized.

Open student Chapters Across Zambia in key Universities (offering economics or business related programs) and monitor progression. ,Consider the fees to be reasonable for students,(I propose a low fee like k100 to k150.).

For the professionals it can be according to income bracket. 

Push for an act of parliament to make it mandatory for Economists  related jobs e.g. working at Bank of Zambia  to be members of the institute.

 Open Branches in other key provinces for membership development focus and commitment (if their is no funding ,it can start under voluntary program).

 I do believe membership benefits can be enhanced by fostering collaboration & Knowledge -Sharing.

Recommendation for board appointments for members according to specialization is key to motivate loyal members.

 Optimizing industry events ,more presence and engagement digitally, encourage discounts for early membership payments.eg 5% if they members pay before time

Continuous provision of education resources on Zambia economy and proposed reforms .

Push for members to make payment towards building own offices for a period of 2 years and provide minimum amounts according to membership structure."
"2023/12/29 2:10:43 pm EET","Procurement and Supplies","Public Sector","Male","Above 10 Years","No","Yes (Proceed to Q14)","","","","","","","","5","Fees are too high for the perceived benefits","Create a flexible payment plan","","","","","","","","","",""
"2023/12/29 2:32:10 pm EET","Economics","Public Sector","Male","0-4 Years","No","No","I want to become a member","Yes","","Information regarding membership fees and benefits","I am not clear on the application process and requirements","No","Information on workshops, conferences and public discussions conducted by EAZ","","","","","","","","","","","","",""
"2023/12/29 10:25:52 pm EET","Economics related field","Private Sector","Male","Above 10 Years","No","Yes (Proceed to Q14)","","","","","","","","3","Fees are too high for the perceived benefits;Lack of clear instructions on the activation process.;No AGM for long time  and Constitution issues ","Well spelt benefits on membership","","","","","","","","","",""
"2023/12/29 10:36:04 pm EET","Economics","Private Sector","Male","0-4 Years","No","Yes (Proceed to Q14)","","","","","","","","4","Fees are too high for the perceived benefits;Technical issues or difficulties during the registration process.","Well spelt benefits on membership","","","","","","","","","",""
"2023/12/30 1:10:52 am EET","Economics related field","NGO","Male","5-10 Years","No","Yes (Proceed to Q14)","","","","","","","","3","Fees are too high for the perceived benefits;Not sure of the benefits of a paid up membership","Well spelt benefits on membership","","","","","","","","","",""
"2023/12/30 11:27:45 am EET","Economics","Unemployed ","Female","0-4 Years","No","Yes (Proceed to Q14)","","","","","","","","3","Fees are too high for the perceived benefits","Create a flexible payment plan","","","","","","","","","",""
"2023/12/30 5:12:09 pm EET","Economics","Mining","Male","Above 10 Years","Yes","","","","","","","","","","","","Economist","Self- sponsored (Proceed to Q19)","3","It feels EAZ is more of an association for lusaka based members. There is need for leadership even at provicial level to manage some program in respective provinces.  ","3","I can still pay because i feel the association can do better mext year.","2","Economy research seminars and consultancies;Mentorship programs;Conferences and workshops;Collaborative research projects;Skills training and graduate trainee programs;Employment opportunities","Improved website and member portal","The structures should also be at provincial level."
"2023/12/30 6:49:03 pm EET","Economics and Statistics ","Schooling ","Male","0-4 Years","No","Yes (Proceed to Q14)","","","","","","","","5","Financial constraints","Well spelt benefits on membership","","","","","","","","","",""
"2023/12/30 9:00:50 pm EET","Economics","Public Sector","Male","Above 10 Years","Yes","","","","","","","","","","","","Economist","Paid for (Proceed to Q21)","","","5","it about remaining upto date with current trends in economic circles","2","Board placements for senior membership;Economy research seminars and consultancies;Conferences and workshops;Skills training and graduate trainee programs;Industrial tours;Strategic partners with multinational institutions e.g. World Bank Group (WBG), IMF, EU, AU, BRICS, COMESA, and SADC with the aim of creating capacity for EAZ members across the board.;Employment opportunities","Improved website and member portal","Market EAZ to enable more people to join. visit schools are have students subscribe"
"2023/12/31 6:32:51 pm EET","Economics related field","Public Sector","Male","0-4 Years","Yes","","","","","","","","","","","","Junior","Paid for (Proceed to Q21)","","","5","Because I want to financially support the Economics Association. ","5","Economy research seminars and consultancies;Mentorship programs;Conferences and workshops;Collaborative research projects;Skills training and graduate trainee programs;Industrial tours;Fund raising events and sponsorships;Strategic partners with multinational institutions e.g. World Bank Group (WBG), IMF, EU, AU, BRICS, COMESA, and SADC with the aim of creating capacity for EAZ members across the board.;Employment opportunities","Personalized communication based on member interests","Reduce the annual membership fees. "
"2024/01/02 9:40:14 am EET","Economics","Private Sector","Male","Above 10 Years","Yes","","","","","","","","","","","","Economist","Self- sponsored (Proceed to Q19)","5","Keep up to date with current affairs but most important have a platform to use in reaching out to other stake holders such as Government and many more.","5","To be able to associate with other professionals for my progression and also help other stake holders with my contributions through a recongnized institution like EAZ","1","Economy research seminars and consultancies;Mentorship programs;Conferences and workshops;Collaborative research projects;Industrial tours;Strategic partners with multinational institutions e.g. World Bank Group (WBG), IMF, EU, AU, BRICS, COMESA, and SADC with the aim of creating capacity for EAZ members across the board.","Regular newsletters with updates","Nothing for now."
"2024/01/02 5:12:02 pm EET","Economics","NGO","Male","Above 10 Years","Yes","","","","","","","","","","","","Senior","Self- sponsored (Proceed to Q19)","4","EAZ is an important professional organization which can contribute significantly to national development","4","I am self-employed and do not have another source of income for membership fees","5","Conferences and workshops","Regular newsletters with updates","None"
"2024/01/02 7:42:05 pm EET","Economics","Currently a student ","Male","0-4 Years","No","Yes (Proceed to Q14)","","","","","","","","5","Lack of clear instructions on the activation process.","Well spelt benefits on membership","","","","","","","","","",""
"2024/01/03 7:31:14 am EET","Economics","Public Sector","Male","0-4 Years","No","Yes (Proceed to Q14)","","","","","","","","5","Financial constraints","Well spelt benefits on membership","","","","","","","","","",""
"2024/01/04 6:24:48 am EET","INSURANCE/PENSIONS/REINSURANCE","Private Sector","Female","5-10 Years","No","Yes (Proceed to Q14)","","","","","","","","5","Fees are too high for the perceived benefits;Financial constraints;Lack of adequate information on the payment system;The payment validity time frame;THERE IS NEED FOR A PAYMENT PLAN FOR RECENT GRADUATES ","Well spelt benefits on membership","","","","","","","","","",""
"2024/01/04 3:05:30 pm EET","Economics","Public Sector","Male","0-4 Years","No","Yes (Proceed to Q14)","","","","","","","","5","Fees are too high for the perceived benefits","Create a flexible payment plan","","","","","","","","","",""
"2024/01/04 9:25:30 pm EET","Economics","Private Sector","Male","0-4 Years","No","Yes (Proceed to Q14)","","","","","","","","5","Financial constraints","Well spelt benefits on membership","","","","","","","","","",""
"2024/01/05 12:06:09 pm EET","Economics","Private Sector","Male","5-10 Years","No","Yes (Proceed to Q14)","","","","","","","","5","Lack of adequate information on the payment system;Lack of clear instructions on the activation process.;Technical issues or difficulties during the registration process.","Create a flexible payment plan","","","","","","","","","",""
"2024/01/09 12:08:42 pm EET","Economics related field","Freelance Consulting","Male","Above 10 Years","No","Yes (Proceed to Q14)","","","","","","","","5","Financial constraints","Well spelt benefits on membership","","","","","","","","","",""
"2024/01/14 1:43:32 pm EET","Economics related field","Currently studying ","Male","0-4 Years","Yes","","","","","","","","","","","","Student","Self- sponsored (Proceed to Q19)","5","I am willing ","5","A am willing but not in time ","5","Board placements for senior membership;Economy research seminars and consultancies;Mentorship programs;Conferences and workshops;Collaborative research projects;Skills training and graduate trainee programs;Industrial tours;Fund raising events and sponsorships;Strategic partners with multinational institutions e.g. World Bank Group (WBG), IMF, EU, AU, BRICS, COMESA, and SADC with the aim of creating capacity for EAZ members across the board.;Employment opportunities","Regular newsletters with updates","I like the effectiveness of the association "
"2024/01/17 5:44:04 pm EET","Economics","Private Sector","Male","Above 10 Years","Yes","","","","","","","","","","","","Student","Self- sponsored (Proceed to Q19)","4","I would appreciate if we can aquire fixed asset and improve organization management.","4","I have no other options currently ","3","Skills training and graduate trainee programs","Improved website and member portal","1. We need AGM like tomorrow,(2) the constitution need be refined (3) their is need bring back old members and start ambitious member recruitment program and marketing (5)paid  publication of research papers (6) Investment which benefits members and institute etc"
"2024/01/18 1:31:51 pm EET","Economics","Private Sector","Female","5-10 Years","Yes","","","","","","","","","","","","Economist","Paid for (Proceed to Q21)","","","4","I think the association provides great opportunities to learn and network","5","Board placements for senior membership;Conferences and workshops;Collaborative research projects;Strategic partners with multinational institutions e.g. World Bank Group (WBG), IMF, EU, AU, BRICS, COMESA, and SADC with the aim of creating capacity for EAZ members across the board.;Employment opportunities","Improved website and member portal","Consistency "
"2024/01/18 1:33:33 pm EET","Development Practitioners ","Public Sector","Male","5-10 Years","No","Yes (Proceed to Q14)","","","","","","","","5","Fees are too high for the perceived benefits;Financial constraints","Well spelt benefits on membership","","","","","","","","","",""
"2024/01/18 1:41:30 pm EET","Economics","Banking and Financial ","Female","0-4 Years","Yes","","","","","","","","","","","","Economist","Paid for (Proceed to Q21)","","","2","The association benefits are minimal especially to those outside Lusaka","2","Economy research seminars and consultancies;Mentorship programs;Conferences and workshops;Collaborative research projects;Strategic partners with multinational institutions e.g. World Bank Group (WBG), IMF, EU, AU, BRICS, COMESA, and SADC with the aim of creating capacity for EAZ members across the board.;Employment opportunities","Improved website and member portal",""
"2024/01/18 1:57:07 pm EET","Economics","Private Sector","Male","0-4 Years","Yes","","","","","","","","","","","","Senior","Self- sponsored (Proceed to Q19)","5","Because it makes me be idenfied easily with my field ","5","Because this will enable the association to get organized,and enhance its operations to better contribute meanifully as a think tank to the economic growth,and development of our mother country Zambia.","2","Board placements for senior membership;Economy research seminars and consultancies;Mentorship programs;Conferences and workshops;Collaborative research projects;Skills training and graduate trainee programs;Industrial tours;Fund raising events and sponsorships;Strategic partners with multinational institutions e.g. World Bank Group (WBG), IMF, EU, AU, BRICS, COMESA, and SADC with the aim of creating capacity for EAZ members across the board.;Employment opportunities","Personalized communication based on member interests","Let the EAZ first check membership categories before members can be assigned the activities to achieving economic informed debates ; EAZ is an economic think tank though it has diverse membership; as a think ,we are expected to contribute more to the economic growth and development of our mother country Zambia in an informed way."
"2024/01/18 2:15:10 pm EET","Economics","Public Sector","Male","Above 10 Years","No","Yes (Proceed to Q14)","","","","","","","","2","Fees are too high for the perceived benefits","Create a flexible payment plan","","","","","","","","","",""
"2024/01/18 2:23:10 pm EET","Economics","Public Sector","Male","0-4 Years","Yes","","","","","","","","","","","","Student","Self- sponsored (Proceed to Q19)","3","The association does not seem to have many benefits for members e.g trainings to enhance skills, networking events with industry leaders where members are given priority, webinars and materials on current affairs. ","3","Continued payment of membership fees depends on the benefits I am getting from being a member of the association. ","5","Board placements for senior membership;Economy research seminars and consultancies;Mentorship programs;Conferences and workshops;Collaborative research projects;Skills training and graduate trainee programs;Industrial tours;Fund raising events and sponsorships;Strategic partners with multinational institutions e.g. World Bank Group (WBG), IMF, EU, AU, BRICS, COMESA, and SADC with the aim of creating capacity for EAZ members across the board.;Employment opportunities","Personalized communication based on member interests","The association needs to organise more events that involve members. Trainings, workshops, industry tours, employment opportunities, collaborative research. "
"2024/01/18 2:28:08 pm EET","Economics","Actively seeking for a job ","Female","0-4 Years","Yes","","","","","","","","","","","","Student","Self- sponsored (Proceed to Q19)","5","Because I want to able to participate in the activities offered by the organization ","5","Because I want to participate and learn more on the activities of the organization ","5","Employment opportunities","Regular newsletters with updates","To advertise more to students and also involve more organizations and there employees "
"2024/01/18 2:30:36 pm EET","Economics","Public Sector","Male","0-4 Years","No","Yes (Proceed to Q14)","","","","","","","","2","Fees are too high for the perceived benefits","Well spelt benefits on membership","","","","","","","","","",""
"2024/01/18 3:15:05 pm EET","Economics,finance and computer science","Public Sector","Male","5-10 Years","Yes","","","","","","","","","","","","Economist","Self- sponsored (Proceed to Q19)","5","Any association or entity requires funds for logistics  ,etc to run","","","2","Economy research seminars and consultancies;Industrial tours;Fund raising events and sponsorships;Strategic partners with multinational institutions e.g. World Bank Group (WBG), IMF, EU, AU, BRICS, COMESA, and SADC with the aim of creating capacity for EAZ members across the board.;Employment opportunities","Regular newsletters with updates","None"
"2024/01/18 3:16:29 pm EET","","Private Sector","Male","Above 10 Years","No","No","I want to become a member","Yes","","","I haven’t had the opportunity to explore the benefits and advantages of EAZ membership","No","Information on economic trends","","","","","","","","","","","","",""
